"uniqueID","siteID","SiteNo"
4908403,9987501,30
3018632,3550296,1
3018632,4236267,28
6700917,3696321,6
1173140,4957933,28
5516682,7838632,18
1152890,4622890,11
4053486,3469103,5
4053486,1964289,19
4053486,8802087,26
4053486,5414690,8
4053486,5273863,23
4053486,8206178,18
4053486,6634865,29
4053486,9683166,24
4053486,1093120,12
3368651,5391094,10
7673149,2317757,17
7673149,2617555,7
8874318,5896637,28
1752381,2110281,19
1752381,6715978,7
1752381,3109764,2
1752381,8413153,4
1752381,6959236,25
5140158,3572848,25
5140158,4185716,8
4684407,8609572,18
1392851,6721151,12
3893088,3759300,9
3893088,1595776,5
3893088,4561861,14
5009715,3924466,15
9436358,1035544,9
9436358,8867563,22
9436358,2405718,2
9551486,4395743,9
9551486,8571744,22
6747494,5138444,13
6747494,8460391,18
6747494,1498409,17
6747494,3769286,30
5306939,9981525,12
1503582,4904867,30
7778949,8879627,17
4482268,3490181,9
2309060,6275579,13
6382605,1862921,27
6382605,5202830,13
6382605,9204276,3
6382605,7012733,9
6382605,8549248,10
6382605,6042339,22
6382605,3921531,30
4583009,3501433,24
3663380,4923854,30
3663380,5111550,29
4334915,2646597,1
5810459,8697076,21
6063423,9448390,19
6063423,3934302,21
6063423,8194407,10
6063423,7910196,23
6063423,8738971,17
6063423,9768028,29
6063423,2537606,26
6063423,3527595,12
6063423,4569491,1
6063423,4456137,5
6063423,5470233,24
6785830,1399639,27
6785830,8499855,3
6785830,3176421,13
1666703,8867658,12
1666703,1165893,4
1666703,7268698,2
1666703,5625816,27
3409627,6088197,23
4015632,8612349,4
4672321,9856676,8
4672321,2064756,24
9137783,5629981,6
7062650,1423818,2
4495914,7704808,14
4977536,5345923,14
9705467,6924641,15
5425956,6933582,27
5425956,2580720,17
5425956,6023456,1
5425956,5065759,19
5425956,4178297,20
5425956,7899728,26
5425956,7661455,2
5425956,9480551,18
5425956,4125013,29
5425956,6073700,4
3066481,1991048,20
5449550,2925557,3
5449550,6122808,24
2581788,9002416,13
2581788,2667475,7
7865479,3967702,30
7865479,9024386,25
7865479,9791114,10
7865479,4166008,12
7865479,4712619,8
7925133,6923390,13
3205255,2943388,7
3205255,3657405,17
3205255,4566837,23
3205255,9337315,20
3205255,9711858,14
3205255,8666257,1
3205255,3115272,12
3205255,1848402,29
3205255,8467595,18
2398921,6367142,13
2398921,6764514,25
2398921,5432806,15
2398921,1314364,22
2398921,2127970,29
2398921,4701934,21
2398921,5813602,18
2398921,6050824,7
2398921,9984525,11
1454139,2504090,14
8557773,7080394,10
8557773,9584505,21
8557773,9126784,9
8557773,5946831,8
8557773,3782321,1
8557773,9007523,3
8557773,8874671,24
8557773,9315284,16
8557773,9413071,7
8557773,7601751,5
8557773,7020268,28
9442981,6683143,17
9442981,2308595,7
4852111,2252894,12
4852111,8646538,1
6438538,3549597,29
9463025,3209210,6
9463025,6214770,15
9463025,5657217,29
9463025,5610127,17
9463025,9359639,4
4138601,1778578,18
4138601,3542908,10
4138601,1921181,3
4138601,7202534,22
4138601,8794116,30
2138817,2560654,10
7669339,9997318,21
7669339,2079916,27
7669339,4597192,5
7122304,5644547,1
8241717,8555479,19
9702781,8970668,19
9702781,8160754,15
7296375,4450066,16
7296375,1839300,22
9578729,8760822,29
9578729,6117484,12
9071691,1100117,3
9071691,2736672,14
9071691,8149255,26
9071691,1684270,24
9071691,3512369,16
9071691,1171422,25
6162221,9868524,21
6162221,3973558,10
6162221,4562840,26
6162221,4720760,15
6162221,8379118,16
6162221,4131921,18
6162221,3885021,28
6162221,6532407,7
6162221,5644193,1
8365315,6800755,30
8365315,7775405,12
8365315,3234806,19
8305043,6493332,13
8305043,9234699,3
6845159,4637025,7
6845159,9903055,3
6845159,5415283,25
8387060,4573220,7
8387060,2988160,6
8387060,9788227,9
8387060,3255361,22
8387060,3241850,24
8387060,1477644,15
1246289,2285626,11
1246289,3777955,16
1246289,1458639,15
1246289,5922384,29
1246289,6238728,22
8863763,1026107,18
8863763,1704967,22
3289643,9342464,20
3289643,9192304,16
3289643,7337797,30
5270182,4546944,5
5270182,6186802,9
6533881,9811825,23
1585445,2072752,22
1585445,7552630,9
1585445,9631081,7
9306719,6892960,10
3142756,1059050,23
2330138,3847107,14
6179344,1323212,18
3780404,5022357,8
3578678,8319059,15
3578678,3781223,13
1424643,6585056,17
1424643,3481625,5
5724078,6702366,26
5724078,2682013,23
5724078,6890285,8
5724078,6409154,28
5724078,1862545,12
5724078,4830108,9
5724078,3519870,16
5724078,9372033,5
6445380,7942201,5
6445380,9778739,4
2420253,7427411,24
2420253,2206099,25
8901342,6687677,11
3177167,8993989,20
7650746,2138288,26
7650746,6711051,29
7650746,4536236,14
3300054,4714655,7
3300054,4509812,4
7407656,4000411,22
8659812,8851449,19
2971242,5360096,19
2998870,1368663,30
1318863,2865026,12
1318863,7192419,29
6169411,5537442,23
5613320,7789064,12
1507299,1205372,4
5117978,4248043,11
6965355,7900835,18
6965355,7087570,16
6965355,4584139,22
8139825,3825556,15
1010919,4532858,1
4208899,7649205,23
3209578,7444203,30
3209578,5880955,10
3209578,3226026,2
8477282,6340195,14
6156599,8066122,17
2781577,9051210,14
2781577,3565195,17
8777980,6657974,6
8777980,9491812,21
7067115,7349996,3
1138903,3739445,25
1138903,3079572,30
1138903,2466419,12
2492606,6405140,29
2492606,9879935,22
2492606,9599497,16
1767025,6573158,11
1767025,6919487,6
1767025,7697509,30
1767025,8491637,3
5386468,4545542,16
5386468,4695078,27
5386468,9084473,12
5386468,2468165,24
3859386,1366209,4
6913114,4134669,2
5976464,6167923,19
5976464,8123409,28
5976464,1894351,9
5976464,3109665,4
5976464,4780717,20
6324743,7415103,2
6324743,1295676,23
2482412,7231812,26
2482412,9860266,3
9276902,2073963,18
5845230,8579427,1
5845230,8887103,28
5820028,9536110,10
5820028,4010760,9
5820028,6191087,11
5820028,2857763,14
5820028,5656239,20
8760236,1757348,5
1588407,6558436,15
1588407,9410480,21
9772825,9556762,12
9772825,7832403,23
9772825,8236397,19
9772825,3644722,30
9772825,8427932,4
9772825,7529786,10
9643414,8540341,25
2292947,5628846,30
2292947,4958188,2
4038477,1189427,6
4209077,4423185,4
6303168,7474293,10
4271446,5786903,14
4271446,8649803,23
3475770,2490430,15
3475770,2649552,16
3475770,5818293,2
5039651,4444929,14
4805681,1939770,11
8933140,4853955,29
3544807,9135389,15
4409159,3131695,27
4409159,8929587,14
4409159,7359686,8
7475911,1641632,18
6121820,1590588,1
4898818,8742801,18
3223840,7336989,1
1716157,4122189,27
1716157,2914456,7
2278348,8976943,26
3798137,3196155,28
3798137,7759545,27
3798137,5876068,22
3798137,1534865,14
3798137,1628452,19
4387037,5104104,17
7861339,6588476,13
3889737,4750589,8
3889737,1159563,4
3889737,3920735,18
3756460,6534126,30
1120851,2558885,30
8328049,4751766,16
1267844,6103592,14
4213264,4403955,18
9145955,7168018,22
8125313,8836927,27
8125313,9683119,13
6129782,6341956,9
6129782,8881508,3
6129782,9206872,10
6129782,8193443,24
6129782,1341475,30
6129782,9308419,21
6129782,3995495,25
6129782,7265332,22
4441818,3810113,29
4441818,4676618,23
4441818,8611605,19
4441818,8297536,6
4441818,4267529,26
1537674,9606600,5
9655040,2167358,5
2639689,3112364,24
8008190,2301361,23
1653427,8874193,15
8623285,8928945,14
8623285,2419182,16
8623285,6805621,29
8418718,6029090,30
8418718,4365221,1
3355049,9073953,15
3355049,5108153,3
3355049,7977667,4
3355049,5883666,8
3355049,5331048,7
3355049,6629810,17
3355049,2377268,1
3355049,6702169,22
3355049,8087864,14
3355049,3583932,21
7480244,1180592,24
1910996,7017122,19
1910996,3292677,15
1910996,3321449,24
5638421,4473888,22
5638421,7186116,12
3997416,7611046,14
3997416,8489249,5
1672579,3050681,10
1672579,6548829,21
1672579,9787743,4
1672579,4048723,24
1672579,1853033,22
1672579,4013776,19
1672579,6505348,25
1672579,5909332,9
1672579,3185668,12
4023920,8229343,26
5326447,1136256,18
5326447,2611268,8
1350833,6356302,29
1350833,2856433,23
9896245,1028943,13
9896245,9815232,27
1386449,6119147,19
1386449,3033431,30
1386449,4553425,11
1386449,2975625,3
1386449,6829701,12
2768318,3357677,2
9069335,2039175,28
6297011,9657355,19
5208514,7788467,16
3827861,4816242,17
9616937,2766860,26
5649766,8258323,28
1359324,3031363,10
1359324,3960381,19
1359324,2912493,18
1359324,5991013,27
1359324,6423020,9
1359324,6449769,16
1359324,6439728,20
1359324,4209162,15
2264826,9999320,26
2264826,6077174,18
4749860,7761546,14
2162718,2927672,18
7027576,6215897,6
7669895,9476436,19
7669895,4258812,15
5099800,9234904,14
4661051,8828558,22
6770187,1465151,25
6770187,2361220,23
4316133,6105632,23
4316133,6072547,14
8087240,5686422,6
8087240,5012579,8
8087240,9814313,12
8087240,6758715,9
8087240,7449291,18
8087240,9948215,21
8087240,2198243,5
8087240,9056370,20
8087240,6408011,11
8087240,9890410,22
7863037,3505149,2
7863037,5334921,24
4888976,2688651,15
5179152,3031784,27
5179152,3147776,2
5179152,9883453,26
5814229,8546319,19
5814229,9340552,25
5814229,7069843,24
5594328,4893026,15
2589745,6008034,8
2589745,8766570,29
9934029,6542833,28
9173515,7575402,24
4154988,7393477,20
4154988,4303092,4
7649304,9943496,22
7649304,3373305,24
7649304,1380410,26
5509954,5352114,15
5509954,7633799,10
5509954,3917000,12
9450897,8638934,7
9450897,6264091,21
5158620,2395038,3
1850012,9273177,2
7566376,7293718,30
5062137,9264397,6
5062137,6657117,17
4285755,9420282,4
1964177,2951751,13
3687405,3993329,13
5804772,1278487,10
5651314,5273441,14
5651314,3823468,20
5651314,2529017,8
5651314,9157848,12
5651314,8013719,28
9517345,1985344,7
9517345,2600570,4
3551101,2909035,12
3551101,6671974,9
3551101,5395484,7
3551101,3290249,1
3551101,4052946,19
3551101,3039303,16
1148746,8599674,2
1148746,7688430,10
1148746,3237626,1
1148746,9652626,15
1148746,1315029,25
6133321,7566277,1
6133321,4747224,29
6133321,1480750,22
1858929,7090721,24
1858929,9353232,17
1858929,2562425,10
1858929,3106167,21
1858929,9753234,2
1858929,4785134,3
1858929,9450385,28
2887553,5585322,11
4805966,6533666,3
1575688,3051258,8
8151262,9394493,1
1959253,8667575,5
1959253,9554525,17
1959253,8133761,3
1959253,1014946,25
1959253,2967988,22
7290659,5498157,24
7290659,5479600,10
7290659,9363119,13
7290659,8770564,26
7290659,6675287,22
3849215,7652622,7
4524489,8013941,20
4524489,5163422,17
4524489,7536264,29
1230491,3810508,21
5217180,4113320,28
5415011,6485695,26
5415011,6218492,10
5415011,5886889,18
9239865,8006056,28
2027361,5832434,18
2027361,4395305,20
2027361,5345043,14
6487764,7209781,16
2528237,1109869,30
2528237,7977476,7
2528237,2619818,28
2528237,6915479,25
2528237,1810566,8
2528237,6302965,11
2528237,9755886,6
2528237,9768396,19
2388665,5079919,20
2388665,7823674,19
2388665,2994708,1
8513801,7288605,21
8513801,6582363,16
8513801,2005718,19
5385898,5407492,5
2945436,4828173,6
2945436,6608198,14
2945436,7279990,16
2945436,2708274,21
2945436,6506264,11
2945436,1290791,15
2945436,7704209,1
2945436,7757024,28
2945436,7815207,22
2945436,2067029,27
2945436,7595780,2
2945436,5782924,19
9531268,6758540,1
9531268,2838499,18
9531268,8906482,27
6288891,5497947,11
2805202,2532537,6
2805202,7880627,8
2203066,7093045,27
2203066,8244031,18
6233607,8338299,26
1383472,6515080,25
1383472,2380609,17
8124825,7727739,5
8124825,2105840,12
8124825,4343528,20
8124825,1530431,23
8124825,7403049,3
8124825,4181496,28
4984569,8109689,26
4984569,8453325,11
2799527,2196904,14
2799527,3230182,28
2799527,9837651,25
6948585,4866359,14
6948585,7134749,23
6948585,1258754,26
4104138,5715378,16
6729741,7309082,8
6729741,4044043,25
6729741,8896419,5
9213067,8009346,26
3768196,3853725,3
9923217,5787687,17
1826994,8394313,8
1826994,1670166,1
8895170,6866252,16
8895170,6218733,4
8895170,2780104,19
3417818,7081581,27
4726828,2629809,19
4726828,7583018,20
7608474,5927560,17
4868522,7295929,5
4868522,8534409,8
4868522,9368664,28
4868522,9454226,22
4868522,7507740,2
4868522,2651684,27
4868522,6905992,21
4868522,4766622,12
4301072,4651971,24
4301072,5068474,6
4301072,5410516,20
4301072,5155889,1
4301072,6578719,29
4301072,9579031,15
4301072,6949062,28
4301072,3699604,26
4301072,2217983,16
4301072,9884369,21
4301072,7709572,27
5723257,5397117,20
5723257,5674819,8
5723257,5012038,13
5723257,6689883,21
5723257,9195712,1
5723257,2931221,9
5723257,5120484,3
5723257,7398681,4
5723257,2131723,27
5723257,7022820,16
5723257,6352465,22
5723257,4256265,29
5723257,5443085,19
8807224,7869737,16
8072447,4450895,8
8072447,4394138,5
8072447,4885009,23
8072447,1630324,10
8072447,6397656,1
8072447,4959066,4
8072447,2966732,14
8072447,6986868,17
8072447,5282510,18
8072447,5241682,29
7135960,1566861,17
9556996,6483539,6
9556996,1828793,4
1913568,3081964,24
1913568,9326364,19
1913568,4253074,21
1913568,4127438,6
1913568,9328681,13
1913568,4390016,1
1913568,4903218,14
1913568,4764652,11
1913568,6297803,25
1913568,3115555,8
1913568,3878971,30
1913568,7926473,18
1913568,1262989,28
5750289,8629305,26
2626606,6066556,6
2626606,1042631,8
2626606,7307697,2
2626606,2040588,20
1345781,5653852,7
6629826,4742444,18
6629826,2507569,21
6629826,5160825,6
8821474,6000290,22
8821474,1200770,6
8821474,6597458,21
8821474,7855137,19
8821474,5650436,13
8821474,8141739,23
8821474,2830370,3
8821474,8390475,18
8821474,9688728,7
4989415,5622558,16
4989415,6019235,6
4989415,7256466,28
1834039,1068477,15
1834039,4799545,20
1834039,1893752,7
8729178,2538813,16
8729178,4872016,26
8390186,7156226,13
8390186,1413128,8
8390186,6416595,14
8390186,7076366,11
8390186,3963638,1
8390186,1646806,26
8390186,6700169,22
8390186,5690013,12
8390186,6020198,18
8390186,7186981,2
8390186,1854751,30
8390186,7125224,6
8390186,1318315,15
8024210,3410355,13
8024210,8124730,6
8969087,5897495,24
8969087,7969498,9
8969087,5949787,25
8969087,2270882,22
4505897,6948508,8
4505897,6900640,6
4505897,7614126,9
4505897,7556274,21
2573230,6173597,8
2573230,7822526,22
8416790,7465127,22
8342411,8680279,1
8342411,8502539,23
6024487,7565224,23
6024487,7313962,8
6024487,4659998,2
6024487,8230371,18
6024487,1548791,22
6024487,5453878,24
6024487,3168934,29
6024487,9748742,10
6024487,6621191,19
4772643,7160849,22
8305391,1058108,17
8305391,2355846,9
2064905,2501370,26
7304646,5652723,23
2695386,7095729,5
6139798,8831239,19
1948555,6595099,29
1443828,8034679,17
1443828,6573102,19
1443828,2076548,1
1443828,3064944,22
1443828,5962570,16
1443828,7673078,23
1443828,2719121,15
1443828,2261420,6
1443828,6909791,25
1443828,1606289,11
1443828,3349869,29
9760011,8238173,26
2785911,3301468,9
2785911,1576235,14
2785911,9126462,2
2785911,6638938,23
2785911,6446797,10
2785911,9819857,19
5571735,9027503,21
1249835,2495713,11
6303108,8199249,21
3417727,5052419,14
3417727,4997884,2
3417727,3932088,11
5679292,5431160,12
5679292,6305524,29
5679292,9767025,28
5679292,2074973,23
5679292,6123698,19
5679292,9752840,22
5679292,7731992,10
5679292,6267143,13
5679292,2671362,3
9262292,9204266,14
9262292,1348905,5
9262292,7832086,18
9262292,8805915,22
9262292,4731600,3
9262292,7602946,20
9262292,5796751,25
9262292,7287105,13
8083060,7326947,6
3244818,2578746,22
3244818,2569363,30
5770661,9082279,17
5770661,7020525,19
9914091,4805036,22
9914091,7692071,15
7172017,7693392,18
7416864,1354456,15
7416864,6953888,5
7416864,8976835,8
7416864,3549038,10
7416864,8804367,18
7416864,3397586,16
7416864,9201353,21
7416864,7496753,1
7416864,3889208,29
7416864,2108067,30
7416864,7392978,3
7416864,9345747,14
7708196,5693841,8
5844426,4131925,17
5844426,9733248,12
4869244,9946571,24
8986542,9353320,7
8986542,3137254,22
8986542,6295743,4
8986542,3516657,27
8986542,5199287,14
8986542,2888861,6
8986542,1680153,19
8986542,2480297,23
8986542,5741121,8
8986542,8933611,15
5378765,3549256,23
5378765,4555172,7
5378765,1451224,29
5378765,1183806,12
5378765,9942993,2
5378765,4129985,18
5378765,2327990,10
5378765,3034107,1
5378765,9994411,20
5378765,3374690,17
7854046,5533874,22
7854046,7838491,23
7854046,3046281,10
7854046,5406387,1
7854046,4710885,29
7854046,6511149,9
7100315,7191140,3
8779665,9775432,18
8779665,5546842,6
9466693,1981693,22
4675909,6139685,17
4741261,3059632,20
6363615,2053398,21
6363615,8663702,17
7739474,4169639,27
7739474,3635974,29
7739474,6995474,2
7739474,7053056,30
7739474,3984729,20
3032510,3526974,16
4601597,5293453,11
4601597,9387087,20
4601597,8660747,8
7014194,5875252,22
7014194,6901024,5
7014194,3442879,18
7014194,5457787,15
9603386,3515695,30
8678753,9130819,13
2756573,2268840,21
6141511,6721503,23
8230456,8458572,6
8230456,9272169,3
8230456,5784423,18
8230456,3788107,9
1303555,6321180,20
9832006,5208704,30
9832006,3134249,21
1488276,8349434,25
1488276,5093390,5
1488276,1165498,12
3096951,1360985,11
8205395,2450017,9
8205395,3360500,20
1517047,6370722,18
1517047,6623440,15
1517047,4679946,30
4112744,9173579,2
8618453,1453624,25
8618453,5180270,30
8618453,4146485,6
8618453,6054563,10
8618453,6927688,1
8618453,2359591,22
8618453,8143905,15
4195516,6637620,16
4195516,3893848,22
4195516,8535214,18
4195516,9225967,15
4195516,3308183,25
4195516,6823929,7
4195516,6466431,5
4195516,2917041,14
4195516,9613902,4
3016450,6160308,13
3016450,2137088,15
3016450,2097786,9
6887171,6654006,12
3692680,1357122,25
6854354,9282281,7
6854354,4517062,3
3860330,2343012,1
3265943,4116275,2
3265943,6513803,18
2780161,5223663,30
1928797,9754517,25
8906191,4024132,15
9749750,1806339,15
9749750,9029554,9
9749750,2790840,3
9749750,5783176,28
9749750,3939164,8
9749750,3866214,7
9749750,3697281,5
9749750,8256843,16
9749750,4301511,24
2297149,7696181,24
2297149,9874909,30
2297149,6017930,28
2297149,5279090,13
2297149,1600709,20
9008992,5266203,16
9008992,9063419,9
9008992,8828924,5
9008992,3123962,30
5072487,9841768,24
5072487,3740753,17
4605761,1506204,12
6354934,3038977,3
6354934,9044853,10
6354934,7935383,20
6354934,7123683,25
6354934,5901756,6
7480273,5711499,10
6928363,8183544,21
6928363,4298418,11
6928363,9836587,30
6504827,9320389,21
9483603,3438484,18
2408364,8165490,26
3376658,2398430,8
1707553,1463969,23
1707553,2759444,24
5851589,2709065,19
5851589,4868512,16
1647034,7740833,17
1647034,2009545,4
1647034,1972297,25
8107139,9935359,16
8107139,1045011,18
8107139,3438463,24
8107139,1692027,27
2900724,5878901,27
2327564,4097330,29
2327564,3864702,11
2327564,8586943,13
7286319,7604514,14
7165779,7213757,22
9945311,9134711,23
9945311,2240677,4
9945311,5140363,7
9945311,9336223,28
9945311,5571606,12
9945311,9391583,8
9945311,6381744,19
9945311,6813293,16
9945311,9867839,21
9945311,2096563,17
9945311,7112536,25
9945311,1800487,18
1296340,9866011,7
8914213,7306443,21
8914213,6609935,25
2640703,2614764,15
3310503,2947347,28
3771942,2675578,9
3771942,2852734,17
3771942,4772923,8
3771942,7349470,18
3771942,1402508,6
3771942,1518947,27
3771942,5013777,23
3771942,5349994,16
3771942,8772094,30
3771942,9334864,13
2001299,6890234,22
1051861,2270578,30
1051861,8365124,21
1051861,1938701,19
1051861,1776943,14
9812132,7595558,16
9812132,3694740,20
7281096,8201780,23
5458159,9157281,5
5458159,8481364,16
5458159,2995844,7
8317293,8682426,4
4086588,9741134,18
4086588,3960989,6
7632285,6522768,22
6392194,4356003,28
6392194,2463103,1
6392194,3604013,19
6392194,7218035,29
6392194,8465974,25
6392194,6898825,3
1892610,2133908,20
1892610,1963677,13
1892610,6978211,9
4778784,9326374,26
8383383,8448188,23
8383383,7964802,28
6819986,1170903,5
6637187,6512165,27
6637187,4911742,11
4343897,7943976,27
4343897,6337965,1
7317013,9786741,28
7317013,7951906,20
7317013,8688941,7
7317013,9007500,6
7317013,5985438,11
7317013,8858632,8
7317013,6956373,23
7337466,4187754,8
9808895,1447890,25
3497591,8439500,18
5097085,8492852,9
5097085,8500559,20
2044041,1351499,4
2044041,7163731,12
5932814,5009164,19
5932814,4825837,5
5932814,4750691,13
2420627,8351760,19
2420627,6788877,30
2529266,7336526,18
2529266,6648446,2
2529266,7011533,1
6531380,2889531,11
6531380,8245878,25
2427138,5266860,25
2427138,3876323,22
2427138,1584486,5
2195174,5586539,16
2195174,8361877,25
2195174,2726409,1
2195174,2203709,15
2195174,2329369,21
2195174,8890423,23
9382391,7197514,5
3201369,8228484,9
3201369,5955365,2
3201369,7355581,13
3201369,9543196,15
3201369,5509695,22
3201369,9012778,20
3201369,8970077,4
1506395,1703325,26
1506395,9195334,7
1506395,8673104,20
5799314,3718437,28
5799314,5789832,25
5799314,6725788,19
5799314,5262597,1
4490235,6702430,9
6192220,6274938,7
6192220,1531788,21
6192220,8525150,20
6192220,6012571,1
6192220,5309516,6
7714508,1583984,28
7714508,2225316,6
7714508,9856417,23
7714508,3185141,5
7714508,9511859,12
7714508,5951224,7
7714508,6307253,3
7714508,8807097,22
7714508,4128951,14
7714508,5717210,11
7714508,8267449,17
7714508,1993063,21
2288596,3903643,19
2288596,2533211,14
2288596,9730874,12
5308798,4138127,20
5308798,8732368,28
5308798,2807849,10
9363756,1091644,1
9363756,5196554,2
9363756,3240302,3
9363756,4276570,16
9363756,4791076,9
4267078,9302134,5
4267078,5391318,8
4267078,7552245,22
4267078,1350912,13
4267078,6729210,14
4267078,5739173,25
4267078,8146529,4
4267078,5924358,15
4267078,1541920,7
4267078,2710023,20
4267078,9431489,2
4001833,7563444,28
8457869,8424588,10
8457869,1571037,13
7315090,8295704,15
4430041,3617232,17
4430041,3659528,12
4135335,1458431,23
3784484,6861340,28
3784484,8144537,29
3784484,8635891,1
3784484,1287043,6
3784484,6445404,5
3784484,1518696,4
3784484,3055261,23
3784484,1793953,2
3784484,1871515,3
3784484,4891920,14
3784484,9332204,15
3784484,4185999,27
3784484,1242772,11
7006593,1963204,7
1851762,8631366,16
9114672,2593866,23
5575576,2546749,3
5575576,3638933,8
9831272,4401855,5
9831272,3905590,29
9831272,9123721,6
7485424,1925177,23
1925229,6384181,20
1933194,3095532,18
1434781,5338041,14
9852855,3149095,17
4607240,2394901,5
4607240,1257980,16
4607240,9264896,1
4607240,4015720,14
4607240,9306833,9
4323004,3553916,1
4323004,8617633,13
4323004,8794574,10
4323004,8623332,5
4323004,6924354,24
4323004,5205137,27
7151758,8736015,4
7151758,6236877,28
7151758,7300052,5
5158973,6702866,24
5158973,5783621,14
5158973,2661871,19
5158973,9984757,6
5158973,7381193,27
5158973,1317919,29
5158973,9497786,10
5158973,5975068,16
5158973,4078484,1
5158973,6645331,3
5158973,3499523,2
1870312,3238318,14
1870312,1544519,18
1870312,7921680,20
1870312,7243648,25
1870312,1953767,9
1870312,6266075,26
1870312,8447403,3
1870312,5626116,10
8494390,2936215,9
8494390,5809376,15
8494390,1498335,27
8494390,9006962,23
8494390,8568192,29
8494390,3635749,20
8494390,4535583,30
8494390,9388367,14
1568454,1979092,30
8197663,3878388,18
4770187,2599051,26
4770187,4722899,21
4770187,3084888,10
4770187,1491143,1
4770187,8602902,9
4770187,3004748,2
4770187,9142168,17
4770187,1287279,12
4770187,5039152,25
4770187,2251779,15
6397136,6776714,8
6397136,9928416,16
8135768,1830847,3
8135768,5714085,5
8135768,1638359,28
3479402,3005968,9
3393178,4417227,30
4638164,6001450,17
4638164,7311911,23
9981535,4495564,19
6822952,1435993,11
9470571,6073780,13
